"code","label_en","label_fr","label_short_en","label_short_fr","unit","default_transformation","group","indexed_by","definition_en","definition_fr"
"GDP","GDP","PIB","GDP","PIB","M€","reldiff","Activity","commodity","Gross domestic product at market prices.","Produit intérieur brut aux prix du marché."
"VA_SM","VA (commercial sector)","VA du secteur marchand","VA","VA","M€","reldiff","Activity",,"Value added of the commercial sector.","Valeur ajoutée du secteur marchand."
"CH","Household consumption","Consommation des ménages","Consumption","Consommation","M€","reldiff","Activity","commodity","Final consumption expenditure of households.","Dépense de consommation finale des ménages."
"I","Investment","Investissement","Investment","Investissement","M€","reldiff","Activity","sector,commodity","Gross fixed capital formation.","Formation brute de capital fixe."
"I_SNF","Investment (SNF + EI)","Investissement (SNF + EI)","Investment SNF","Investissement SNF","M€","reldiff","Activity",,"Investment of non-financial corporations and unincorporated enterprises.","Investissement des sociétés non financières et entreprises individuelles."
"G","Government expenditure","Dépenses publiques","Government","Public","M€","reldiff","Activity","commodity","Final consumption expenditure of general government.","Dépense de consommation finale des administrations publiques."
"Y","Output","Production","Output","Production","M€","reldiff","Activity","sector,commodity","Production at basic prices.","Production aux prix de base."
"X","Exports","Exportations","Exports","Exportations","M€","reldiff","Activity","commodity","Exports of goods and services.","Exportations de biens et services."
"M","Imports","Importations","Imports","Importations","M€","reldiff","Activity","commodity","Imports of goods and services.","Importations de biens et services."
"F_L","Employment","Emploi","Employment","Emploi","thousands","diff","Labour market",,"Total employment in thousands of persons.","Emploi total en milliers de personnes."
"F_L_Q","Qualified employment (in thousands)","Emploi qualifié (en milliers)","Qualified empl.","Emploi qualifié","thousands","diff","Labour market",,"Employment of qualified workers.","Emploi des travailleurs qualifiés."
"F_L_NQ","Non-qualified employment (in thousands)","Emploi non qualifié (en milliers)","Non-qual. empl.","Emploi non qualifié","thousands","diff","Labour market",,"Employment of non-qualified workers.","Emploi des travailleurs non qualifiés."
"F_L_SM","Employment in thousands (commercial sector)","Emploi en milliers (secteur marchand)","Employment SM","Emploi marchand","thousands","diff","Labour market",,"Employment of the commercial sector.","Emploi du secteur marchand."
"LF","Active population","Population active","Labour force","Population active","thousands","diff","Labour market",,"Labour force in thousands of persons.","Population active en milliers de personnes."
"UNR","Unemployment rate (in %)","Taux de chômage (en %)","Unempl. rate","Taux de chômage","%","ppdiff","Labour market",,"Unemployment as a share of the labour force.","Chômage en part de la population active."
"W","Nominal wages","Salaires nominaux","Wages","Salaires","index","reldiff","Labour market","sector","Nominal wage rate.","Taux de salaire nominal."
"C_L","Cost of labor","Coût réel du travail","Labour cost","Coût du travail","index","reldiff","Labour market",,"Real cost of labour to the employer.","Coût réel du travail pour l'employeur."
"SHARE_SALARIES","Labor share into VA (in %)","Part du travail dans la VA (en %)","Labour share","Part du travail","%","ppdiff","Labour market",,"Compensation of employees as a share of value added.","Rémunération des salariés en part de la valeur ajoutée."
"PCH","Consumption price","Prix à la consommation","Cons. price","Prix conso.","index","reldiff","Prices","commodity","Household consumption price index.","Indice de prix de la consommation des ménages."
"PY","Production price","Prix à la production","Prod. price","Prix prod.","index","reldiff","Prices","sector","Production price at basic prices.","Prix de la production aux prix de base."
"PYM","Production price (commercial sector)","Prix à la production (secteur marchand)","Prod. price SM","Prix prod. marchand","index","reldiff","Prices",,"Production price of the commercial sector.","Prix de la production du secteur marchand."
"PVA","Price of VA","Prix de VA","VA price","Prix VA","index","reldiff","Prices",,"Value added deflator.","Déflateur de la valeur ajoutée."
"PCI","Intermediate consumption price","Prix de CI","IC price","Prix CI","index","reldiff","Prices","sector,commodity","Intermediate consumption price.","Prix des consommations intermédiaires."
"PM","Import price","Prix des importations","Import price","Prix import.","index","reldiff","Prices","commodity","Import price.","Prix des importations."
"PX","Export price","Prix des exportations","Export price","Prix export.","index","reldiff","Prices","commodity","Export price.","Prix des exportations."
"MU","Markup","Taux de marge","Markup","Marge","%","ppdiff","Prices",,"Producer markup rate over unit cost.","Taux de marge du producteur sur le coût unitaire."
"DISPINC_AT","Household real disposable income","Revenu réel disponible des ménages","Disp. income","Revenu disponible","M€","reldiff","Households",,"Household disposable income after tax in real terms.","Revenu disponible des ménages après impôt en termes réels."
"RSAV_H_VAL","Household saving rate (in %)","Taux d'épargne des ménages (en %)","Saving rate","Taux d'épargne","%","ppdiff","Households",,"Household saving as a share of disposable income.","Épargne des ménages en part du revenu disponible."
"RBAL_G_PRIM_VAL","Government primary balance (in GDP points)","Balance primaire du gouvernement (en points de PIB)","Primary balance","Solde primaire","pts GDP","ppdiff","Public finances",,"General government primary balance in points of GDP.","Solde primaire des administrations publiques en points de PIB."
"RBAL_G_PRIM_VAL_DGT","Government primary balance (in GDP points)","Balance primaire du gouvernement (en points de PIB)","Primary balance","Solde primaire","pts GDP","ppdiff","Public finances",,"General government primary balance in points of GDP (alternative definition).","Solde primaire des administrations publiques en points de PIB (définition alternative)."
"RSAV_G_VAL","Gouvernment saving rate (in GDP points)","Epargne du gouvernement (en points de PIB)","Gov. saving","Épargne publique","pts GDP","ppdiff","Public finances",,"General government saving in points of GDP.","Épargne des administrations publiques en points de PIB."
"RBAL_TRADE","Trade balance (in GDP points)","Balance commerciale (en points de PIB)","Trade balance","Balance comm.","pts GDP","ppdiff","External",,"Trade balance in points of GDP.","Balance commerciale en points de PIB."
"RBAL_TRADE_VAL","Trade balance (in %)","Balance commerciale (en %)","Trade balance","Balance comm.","%","ppdiff","External",,"Trade balance in value as a share.","Balance commerciale en valeur en part."
"EMS","GHG emissions","Émissions de GES","Emissions","Émissions","MtCO2eq","reldiff","Environment","sector,commodity","Greenhouse gas emissions in CO2 equivalent.","Émissions de gaz à effet de serre en équivalent CO2."
